Observer,Date,Time of Observation,Pond ID,# of Resighted Barnacled Snails,# of Resighted Clean Snails
Katrina,"June 24, 2021",5:04 PM,A,6,9
Katrina,"June 24, 2021",5:12 PM,C,3,5
Katrina,"June 24, 2021",5:20 PM,G,5,7
Katrina,"June 24, 2021",5:26 PM,H,7,6
Katrina,"June 24, 2021",5:33 PM,K,4,7
Katrina,"June 30, 2021",4:37 PM,A,0,3
Katrina,"June 30, 2021",4:44 PM,C,1,0
Katrina,"June 30, 2021",4:51 PM,G,0,0
Katrina,"June 30, 2021",4:56 PM,H,0,0
Katrina,"June 30, 2021",5:03 PM,K,0,0
Amanda,"July 22, 2021",12:45 PM,K,2,2
Amanda,"July 22, 2021",1:00 PM,H,2,5
Amanda,"July 22, 2021",1:10 PM,M,6,4
Amanda,"July 22, 2021",1:14 PM,G,2,3
Amanda,"July 22, 2021",1:18 PM,A,3,1
Amanda,"July 22, 2021",1:25 PM,L,0,1
Amanda,"July 22, 2021",1:30 PM,C,6,4
Amanda,"July 22, 2021",1:40 PM,B,2,5